;;;ÓÁÌË˜Ì˚Â;œÓÎÂ 3;œÓÎÂ 2;œÓÎÂ 1;œÓÎÂ 4;œÓÎÂ 7
BAH-0013E;SKF;0;1368.18;1162.92;1026.3;957.66;943.8;916.74
BAH-0015E;SKF;0;1708.08;1452;1281.06;1195.92;1178.76;1144.44
BAH-0023;SKF;0;1645.38;1398.54;1234.2;1151.7;1135.2;1102.2
BAH-0028AA;SKF;0;1331.88;1131.9;999.24;932.58;918.72;892.32
BAH-0032;SKF;0;2803.02;2382.6;2102.1;1962.18;1933.8;1877.7
BAH-0043BB;SKF;0;1390.62;1182.06;1042.8;973.5;959.64;931.92
BAH-0043BC;SKF;0;1458.6;1240.14;1094.28;1021.02;1006.5;977.46
BAH-0049;SKF;0;2289.54;1946.34;1717.32;1602.48;1580.04;1533.84
BAH-0053ADX;SKF;0;1855.92;1577.4;1391.94;1298.88;1280.4;1243.44
BAH-0055AAX;SKF;0;2067.78;1757.58;1551;1447.38;1426.92;1385.34
BAH-0059C;SKF;0;2251.92;1914;1688.94;1576.08;1553.64;1508.76
BAH-0064AA;SKF;0;1527.24;1298.22;1145.76;1069.2;1054.02;1023
BAH-0068D;SKF;0;2234.76;1899.48;1676.4;1564.2;1541.76;1497.54
BAH-0069;SKF;0;2620.86;2227.5;1965.48;1834.8;1808.4;1756.26
BAH-0092;SKF;0;1053.36;895.62;790.02;737.22;726.66;705.54
BAH-0106D;SKF;0;1886.28;1603.14;1415.04;1320.66;1301.52;1263.9
BAH-0108D;SKF;0;1607.76;1366.86;1205.82;1125.3;1109.46;1077.12
BAH-0116;SKF;0;1807.08;1535.82;1355.64;1265.22;1246.74;1210.44
BAH-0122;SKF;0;2544.3;2162.82;1908.06;1781.34;1755.6;1704.78
BAH-0144A;SKF;0;3384.48;2876.94;2538.36;2369.4;2335.08;2267.76
BAH-0179;SKF;0;999.24;849.42;749.76;699.6;689.7;669.24
BAH-0185D;SKF;0;1497.54;1273.14;1123.32;1048.08;1033.56;1003.2
BAH-0186D;SKF;0;1865.82;1585.98;1399.2;1306.14;1287.66;1250.04
BAH-0204E;SKF;0;1957.56;1663.86;1468.5;1370.16;1351.02;1311.42
BAH-5000AA;SKF;0;1167.54;992.64;875.82;817.08;805.86;782.1
BAH-5000BB;SKF;0;1700.16;1445.4;1275.12;1189.98;1172.82;1139.16
BAH-5001A;SKF;0;2124.54;1805.76;1593.24;1486.98;1465.86;1423.62
BAHB-633815AA;SKF;0;1960.2;1666.5;1470.48;1372.14;1352.34;1313.4
BAHB309797C;SKF;0;3650.46;3102.66;2737.68;2555.52;2518.56;2445.96
BAHB311315BD;SKF;0;1793.22;1523.94;1345.08;1255.32;1237.5;1201.2
